cidade_01,nome,id.x,meio,regiao_metropolitana.x,uf.x,estado01,regiao01,pais.x,fonte,name,about,category,description,general_info,likes,link,city,state,country,latitude,longitude,talking_about_count,username,website,,
PINHALZINHO,IMPRENSA DO POVO,id5468,Jornal,n/d,SC,Santa Catarina,S,Brasil,Adjori-Sc,Imprensa Do Povo,Fique sabendo de tudo o que acontece em Pinhalzinho e região. Assine ou anuncie em nosso jornal - (49) 3366.3910 - www.imprensadopovo.com.br,Media/News Company,Fique sabendo de tudo o que acontece em Pinhalzinho e região. Assine ou anuncie em nosso jornal - (49) 3366.3910 - www.imprensadopovo.com.br,NA,9466,https://www.facebook.com/imprensa.povo/,Pinhalzinho,SC,Brazil,-26.8400362,-52.9900549,145,imprensa.povo,http://www.imprensadopovo.com.br,,
ÁGUAS LINDAS DE GOIÁS,IMPRENSA JA,id503,Online,RIDE DF,GO,Goiás,CO,Brasil,Secom/PR,Associação de Imprensa do Estado do Rio de Janeiro,"Fundada em 1960 a Associação de Imprensa do Estado do Rio de Janeiro tem como objetivo a valorização e o aperfeiçoamento do profissional de imprensa e comunicação, além da luta pela liberdade de expressão.  ",Media/News Company,"Fundada em 1960 por jornalistas escritores e intelectuais, antes denominada AGI- Associação Guanabarense de Imprensa. A AIERJ foi criada inicialmente para defender os interesses dos profissionais de imprensa, mas logo se firmou como uma das instituições mais importantes do Estado do Rio de Janeiro, tendo participado de importantes movimentos em favor de diversas causas, muitas vezes em conjunto com outras instituições.

Durante esses 57 anos de existência, a AIERJ se envolveu em grandes questões sociais e políticas, porém, ao longo do tempo percebeu que seu papel seria ainda maior, pois além de sua prioridade institucional que é defender os direitos e interesses dos profissionais de imprensa e comunicação, a AIERJ começou a desenvolver um trabalho de captação de benefícios e de consolidação do reconhecimento da classe, junto com capacitação.

AIERJ, há mais de meio século servindo como a casa da imprensa no Rio de Janeiro. Venha, faça parte desta instituição.",NA,5470,https://www.facebook.com/AIERJ/,Rio de Janeiro,RJ,Brazil,-22.9056396,-43.1917305,14,AIERJ,www.aierj.org,,
BELFORD ROXO,IMPRENSA LIBERAL,id2019,Jornal,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,Imprensa Liberal Editora Ltda,NA,Business Service,NA,NA,0,https://www.facebook.com/pages/Imprensa-Liberal-Editora-Ltda/1722785984671162,Belford Roxo,RJ,Brazil,-22.75884,-43.38194,0,NA,NA,,
GUARAPARI,IMPRENSA LIVRE,id458,Jornal,n/d,ES,Espírito Santo,SE,Brasil,Secom/PR,Imprensa Livre,"Com o tempo, uma imprensa cínica, mercenária, demagógica e corrupta formará um público tão vil como ela mesma
-Joseph Pulitzer",Society & Culture Website,"Ciência, política e religião.",NA,12593,https://www.facebook.com/ImpLivre/,Criciúma,SC,Brazil,-28.67733528,-49.37461853,100,ImpLivre,https://www.youtube.com/channel/UCMBNyMk8LsVs7biaL2pWGVg,,
PORTO VELHO,IMPRENSA POPULAR,id5889,Jornal,n/d,RO,Rondônia,N,Brasil,Atlas da NotÃ­cia,Imprensa Popular,"Jornal on-line de Porto Velho, RO. ",Media/News Company,NA,NA,184,https://www.facebook.com/ImprensaPopular/,Pôrto Velho,RO,Brazil,-8.7476333,-63.8673057,98,ImprensaPopular,http://www.imprensapopular.com,,
BARUERI,IMPRENSA REGIONAL,id4012,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Imprensa regional,Página para registro e publicações feitas em veiculos impressos editados em Itapetininga e cidades vizinhas.,Media/News Company,NA,NA,141,https://www.facebook.com/Imprensa-regional-645455912226128/,NA,NA,NA,NA,NA,0,NA,NA,,
IMBITUBA,IMPRESSO CATARINENSE,id3017,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Jornal Impresso Catarinense,O Jornal Impresso Catarinense tem sede em Imbituba e atende toda a região sul de Santa Catarina e Grande Florianópolis e tem sucursal em Garopaba.,Media/News Company,NA,NA,3069,https://www.facebook.com/Jornal-Impresso-Catarinense-327641050637164/,Imbituba,SC,Brazil,NA,NA,493,NA,http://impressocatarinense.com.br/,,
ARARANGUÁ,IMPRESSO DO VALE,id2884,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Impresso do Vale,NA,Media/News Company,NA,NA,65,https://www.facebook.com/clicimpressodovale/,NA,NA,NA,NA,NA,0,clicimpressodovale,http://issuu.com/impressodovale,,
SÃO DESIDÉRIO,INFO SÃO DESIDÉRIO,id4966,Online,n/d,BA,Bahia,NE,Brasil,Atlas da NotÃ­cia,Info São Desidério,Notícias de São Desidério e Região.,News & Media Website,NA,NA,2528,https://www.facebook.com/InfoSaoDesiderio/,NA,NA,NA,NA,NA,621,InfoSaoDesiderio,http://www.infosaodesiderio.com/,,
PALHOÇA,INFOESCOLA,id2850,Online,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,InfoEscola,Página do site InfoEscola.com,Education Website,NA,NA,1932991,https://www.facebook.com/infoescola/,NA,NA,NA,NA,NA,1661,infoescola,http://www.infoescola.com,,
FLORIANÓPOLIS,INFOESPORTE,id2809,Online,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Infoesporte,Campeonato Interno ADAR 2013,"Stadium, Arena & Sports Venue",NA,NA,151,https://www.facebook.com/EsporteAdar/,Três Lagoas,MG,Brazil,NA,NA,2,EsporteAdar,NA,,
SÃO PAULO,INFOJOBS,id3624,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,InfoJobs,"En InfoJobs estamos siempre contigo. Somos la plataforma líder en España que ayuda a todas las personas a progresar a lo largo de su vida laboral y a las empresas a encontrar el mejor talento.

Si necesitas ayuda, escríbenos: http://ow.ly/4Tjt30bNQVQ
",Product/Service,NA,"Estamos a tu lado ofreciéndote nuevas oportunidades. Siempre contigo, en cada paso profesional que des. ¡Feliz próximo primer día!
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>  https://apps.trabajo.infojobs.net/ <ed><U+00A0><U+00BD><ed><U+00B3><U+00B2>",516749,https://www.facebook.com/InfoJobs/,NA,NA,NA,NA,NA,4291,InfoJobs,https://www.infojobs.net/,,
SÃO PAULO,INFOLESTE,id4622,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Jornal Infoleste,NA,Media/News Company,"O jornal Infoleste surgiu em Maio de 2012, com o propósito de agregar e fortalecer a imprensa regional e, ao mesmo tempo, ser um canal entre a comunidade da Zona Leste e os órgãos públicos, levando até eles as reivindicações da população e trazendo as respostas dos órgãos competentes.Fundado e Administrado pelo empresário Alexandre Bueno, o Jornal Infoleste tem como um de seus principais objetivos  levar ao povo da Zona Leste, de uma forma gratuita, a informação, o entretenimento, o serviço de utilidade pública e principalmente fatos e notícias da região de forma imparcial e com credibilidade.


Bairros onde circula: Vila Matilde, Penha, Vila Carrão, Tatuapé, Vila Formosa, Vila Guilhermina, Arthur Alvim, Cidade Patriarca, dentre outros.
Distritos onde circula: Zona Leste I: Carrão, Tatuapé, Vila Matilde, Penha e Vila Formosa // Zona Leste II: Artur Alvim 
Subprefeituras: Penha, Aricanduva/Vila Formosa, Vila Prudente e Mooca
Periodicidade: Mensal
Data de Circulação/Distribuição : entre os dias 20 e 25 de cada mês


Telefone: (11) 2653-1806 
Email: jornalinfoleste@terra.com.br // atendimento@infoleste.com.br
Tiragem: Tiragem mínima 10.000 exemplares
Forma de distribuição: Distribuição gratuita Porta a porta: São Paulo/SP – Estações do Metrô de São Paulo, Subprefeituras, comércio da região, residências, indústrias, escolas, universidades, Bancas de Jornais e repartições públicas em geral.
Gráfica onde imprime atualmente: ESTADÃO (S/A O Estado de São Paulo)
Diretoria: Alexandre Bueno e Lúcia de Fátima Borges Bueno; Jornalista responsável: Mauro Borges Malta (MTB 40680/SP)",NA,234,https://www.facebook.com/jornalinfoleste/,São Paulo,SP,Brazil,-23.53933,-46.51788,7,jornalinfoleste,http://www.infoleste.com.br/,,
SÃO PAULO,INFOMONEY,id3687,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,InfoMoney,"Estamos também no Twitter (@infomoney), Instagram (@infomoney) e Linkedin (linkedin.com/company/infomoney)",News & Media Website,"Nossa missão é trazer aos leitores informações que valem dinheiro de uma forma simples e agradável de ler. Abordamos assuntos relacionados a economia, investimentos, finanças pessoais, política, consumo, carreira e negócios.",NA,1308255,https://www.facebook.com/InfoMoney/,NA,NA,NA,NA,NA,164323,InfoMoney,http://www.infomoney.com.br,,
MAFRA,INFORMAÇAO & NEGOCIOS,id3089,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,"Página oficial do Núcleo de Informação e Coordenação do Ponto BR (NIC.br), uma entidade civil, sem fins lucrativos, que implementa as decisões do CGI.br.",Nonprofit Organization,"O Núcleo de Informação e Coordenação do Ponto BR (NIC.br) é uma entidade civil, sem fins lucrativos, que implementa as decisões e projetos do Comitê Gestor da Internet no Brasil (CGI.br). 

Algumas das nossas atribuições são o registro e manutenção dos nomes de domínios que usam o .br, tratamento e resposta a incidentes de segurança na Internet, desenvolvimento de estudos e indicadores da Internet no Brasil e projetos de aperfeiçoamento de infraestrutura de redes.",NA,8888,https://www.facebook.com/nic.br/,São Paulo,SP,Brazil,-23.60127131,-46.6947467,183,nic.br,http://www.nic.br,,
MAFRA,INFORMAÇÃO & NEGÓCIOS,id5448,Jornal,n/d,SC,Santa Catarina,S,Brasil,Adjori-Sc,Zênite Informação,"Com mais de duas décadas de atuação, a Zênite é referência em contratação pública e suporte para a Administração.",Consulting Agency,"Toda essa experiência está nas Soluções Zênite: seminários, cursos in company, orientações objetivas, produtos eletrônicos, revistas e livros. Aliado a isso, a organização e a excelência na prestação dos serviços legitimam sua notória especialização.

Saiba mais sobre a Zênite:
www.zenite.com.br
www.zenite.blog.br


Entre em contato conosco:
(41) 2109-8660
comercial@zenite.com.br",NA,34306,https://www.facebook.com/ZeniteInformacao/,Curitiba,PR,Brazil,-25.4439511,-49.2837624,658,ZeniteInformacao,http://www.zenite.com.br,,
ITAÚNA,INFORMATIVO CONEXAO REGIONAL,id973,Jornal,n/d,MG,Minas Gerais,SE,Brasil,Secom/PR,Informativo Conexão Regional,Informativo Conexão Regional,Website,NA,NA,66,https://www.facebook.com/informativoconexaoregiona.com.br/,NA,NA,NA,NA,NA,0,informativoconexaoregiona.com.br,http://www.informativoconexaoregional.com.br,,
GUAPORÉ,INFORMATIVO REGIONAL,id5240,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Informativo Regional,INFORMATIVO REGIONAL -  O JORNAL DA SUA REGIÃO,Media/News Company,INFORMATIVO REGIONAL -  O JORNAL DA SUA REGIÃO,NA,5624,https://www.facebook.com/Informativo-Regional-266542863464089/,São João do Sul,SC,Brazil,NA,NA,355,NA,www.informativoregional.net,,
FLORIANÓPOLIS,INFORME,id2997,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,InformeIC,Página do Informativo do Instituto de Computação da UFF,Computers (Brand),NA,NA,956,https://www.facebook.com/informeic/,NA,NA,NA,NA,NA,125,informeic,http://www.ic.uff.br/informeic.php,,
FLORIANÓPOLIS,INFORME FLORIPA,id5412,Jornal,n/d,SC,Santa Catarina,S,Brasil,Adjori-Sc,Informe Floripa,Fique sabendo das notícias de Florianópolis e Região Metropolitana através desta página. Também acesse o nosso site: www.informefloripa.com,Media/News Company,Jornal com circulação em Florianópolis e Região Metropolitana,NA,5700,https://www.facebook.com/informe.floripa/,Florianópolis,SC,Brazil,-27.59508853,-48.55244368,1434,informe.floripa,http://www.informefloripa.com,,
PIQUET CARNEIRO,INFORME GERAÇÃO,id4967,Jornal,n/d,CE,Ceará,NE,Brasil,Atlas da NotÃ­cia,Informe gerAção,www.informegeracao.com,Media/News Company,NA,NA,2822,https://www.facebook.com/informegeracao/,NA,NA,NA,NA,NA,753,informegeracao,www.informegeracao.com,,
SANTO ANASTÁCIO,INFORME NEWS,id4473,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Informe News,Dourados e Mato Grosso do Sul em um Clique,News & Media Website,Dourados MS e o mundo em um Clique!,NA,710,https://www.facebook.com/informenewsdourados/,NA,NA,NA,NA,NA,4,informenewsdourados,http://www.informenews.com.br,,
JUIZ DE FORA,INFORME SAUDE,id994,Jornal,n/d,MG,Minas Gerais,SE,Brasil,Secom/PR,Informe Saúde,"A página tem como objetivo informar e compartilhar conhecimento, com intuito de falar sobre como a cibercultura interfere diretamente em nossa sociedade. ",Library,NA,NA,211,https://www.facebook.com/conhecimentoconectado/,Vitória da Conquista,BA,Brazil,-14.86352,-40.83311,1,conhecimentoconectado,NA,,
SÃO PAULO,INFRAESTRUTURA URBANA,id3421,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Conen Infraestrutura Urbana,"A Conen desenvolve Projetos nas áreas de Infraestrutura Urbana, Edificações, Equipamentos Urbanos e ainda, atua no setor de Planejamento Urbano.",Engineering Service,"A década de 90 foi pródiga em profundas modificações estruturais nas mais diversas áreas da organização humana mundial. No Brasil, foram realizadas verdadeiras revoluções tanto diretamente associadas e decorrentes de fatores de ordem global, quanto de origem e natureza internas.

Na área da Engenharia Consultiva; a qual abrange a prestação de serviços de elaboração de estudos e projetos, o gerenciamento e a fiscalização de obras, foram evidentes as transformações ocorridas, como ainda hoje é possível observar.

A CONEN surgiu neste cenário. Fundada em 15 de março de 1993, atuando especificamente no setor de Saneamento, no qual desenvolveu inúmeros projetos de forte relevância no país, principalmente no estado do Rio de Janeiro e trabalhando em diversos projetos internacionais.

A partir de 2010, em virtude da grande demanda no país por Projetos de Infraestrutura e da dificuldade de compatibilização entre as disciplinas envolvidas, a Empresa ampliou sua área de atuação para as demais áreas da Infraestrutura Urbana, passando a atuar também na Área de Projeto Urbano, Edificação e Equipamento Urbano, uma vez que ambas se complementam e ainda, ampliou consideravelmente seu Setor de Planejamento.
","Missão
Atingir um nível de excelência na estrutura de trabalho e nos serviços prestados, buscando desta forma conquistar o respeito e a admiração de seus colaboradores e clientes, assim como a comunidade beneficiada direta ou indiretamente pelo resultado do trabalho desenvolvido.

Valores
Comportamento ético, Foco, Comprometimento e Confiança no trabalho desenvolvido.

Visão
Tornar-se referência em ética, profissionalismo e qualidade nos serviços prestados no mercado nacional de Infraestrutura Urbana.
",455,https://www.facebook.com/coneninfra/,Rio de Janeiro,RJ,Brazil,-22.91184,-43.17414,0,coneninfra,www.conen.com.br,,
RIO DE JANEIRO,INGRESSO.COM,id1852,Online,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,Ingresso.com,"Aqui você fica por dentro de tudo sobre o mundo do  cinema. 
Curta nossa página e compartilhe com a gente o seu amor por filmes!",Entertainment Website,NA,NA,2120438,https://www.facebook.com/ingressocom/,NA,NA,NA,NA,NA,236415,ingressocom,www.ingresso.com,,
SÃO PAULO,INOVA!BR,id3405,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,INOVA Branding,A Agência que faz diferente quebra com a mesmice e tem foco total no cliente!,Local Business,"Nossa filosofia de trabalho é diferente, porque somos diferentes. Unimos talento e eficiência em um único propósito, resultados eficazes e diferenciados!",NA,578,https://www.facebook.com/inovabranding/,Paragominas,PA,Brazil,-2.994213066,-47.35361695,0,inovabranding,NA,,
SANTA GERTRUDES,INOVAÇAO,id4467,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Salão Inovação,"Cortes de cabelo, Depilação, Escova Progressivas,manicure com decorações e muitos mais. ",Hair Salon,NA,NA,4772,https://www.facebook.com/inovacaocabeleireiros/,Foz do Iguaçu,PR,Brazil,-25.54091198,-54.58572149,90,inovacaocabeleireiros,NA,,
SÃO PAULO,INSTITUTO DE ESTUDOS LEGISLATIVOS BRASILEIRO - IDELB,id3685,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Instituto de Estudos Legislativos Brasileiro - Idelb,NA,Local Business,NA,NA,0,https://www.facebook.com/pages/Instituto-de-Estudos-Legislativos-Brasileiro-Idelb/954309507999158,São Paulo,SP,Brazil,-23.54913,-46.6541799,0,NA,NA,,
BRASÍLIA,INSTITUTO JOAO GOULART,id281,Online,RIDE DF,DF,Distrito Federal,CO,Brasil,Secom/PR,Instituto Presidente João Goulart,"Visite nosso sitio e saiba mais sobre o Instituto João Goulart
institutojoaogoulart.org.br",Nonprofit Organization,NA,NA,5701,https://www.facebook.com/institutojoaogoulart/,NA,NA,NA,NA,NA,1702,institutojoaogoulart,http://www.institutojoaogoulart.org.br http://www.pagina64.com.br,,
GRAMADO,INTEGRAÇAO,id2552,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Secom/PR,Universidade Federal da Integração Latino-Americana (UNILA),Página oficial da Universidade Federal da Integração Latino-Americana (UNILA).,College & University,"A Universidade Federal da Integração Latino-Americana (UNILA) é um projeto único na história do ensino superior na América Latina. A sua vocação é a de contribuir para o desenvolvimento e a integração latino-americana, com ênfase no Mercosul, por meio do conhecimento humanístico, científico e tecnológico e da cooperação solidária entre as universidades, organismos governamentais e internacionais. 

Será uma universidade aberta para a América Latina e Caribe: a metade dos 10.000 alunos e dos 500 professores, previstos como meta, serão selecionados e recrutados nos vários países latino-americanos e caribenhos, sendo a outra metade formada por brasileiros.

É uma universidade pública ligada à rede de universidades federais brasileiras. Entretanto, embora esteja localizada dentro de um país, tem como horizonte o compartilhamento de conhecimentos em todos os campos do saber e entre os países do continente. 

A escolha da cidade de Foz do Iguaçu como local da instalação da UNILA insere-se no contexto da Região Trinacional entre Argentina, Brasil e Paraguai e será um importante laboratório intercultural e multiétnico.

A UNILA tem a particularidade de ser uma universidade bilíngue, onde os idiomas português e espanhol integram o seu cotidiano. O objetivo é transformar o bilinguismo numa ferramenta-chave para a integração cultural e intelectual da comunidade acadêmica. 

A Universidade foi pensada como uma instituição que possa, no âmbito da sua missão, refletir sobre questões tanto regionais quanto universais, visando contribuir para a solução dos desafios das sociedades latino-americanas. 

Para tanto, oferece cursos e desenvolve pesquisas em áreas de interesse mútuo dos países latino-americanos, com ênfase nos recursos naturais, estudos sociais e linguísticos, relações internacionais e áreas consideradas estratégicas para o desenvolvimento e a integração regional.

O projeto busca desenvolver um modelo da universidade para o século XXI, no momento em que a sociedade do conhecimento e a formação de blocos regionais passaram a ser fatores cada vez mais decisivos para a inserção das nações no cenário competitivo global. 

Esse desafio implica romper com os parâmetros tradicionais e absorver, de forma crítica, a experiência positiva de outras universidades latino-americanas, numa perspectiva interdisciplinar e multicultural. A UNILA pretende ser um espaço universitário aberto a toda a América Latina e o Caribe, firmando acordos de cooperação e intercâmbio acadêmicos em todo o continente.",NA,44424,https://www.facebook.com/unila.oficial/,Foz do Iguaçu,PR,Brazil,-25.43554491,-54.59587208,429,unila.oficial,www.unila.edu.br,,
TATUÍ,INTEGRAÇÃO,id5617,Jornal,n/d,SP,São Paulo,SE,Brasil,Adjori-SP,Integração,NA,Neighborhood,NA,NA,24,https://www.facebook.com/pages/Integra%C3%A7%C3%A3o/630626117009677,Novo Hamburgo,RS,Brazil,-29.727909,-51.0829788,0,NA,NA,,
BENTO GONÇALVES,INTEGRAÇAO DA SERRA,id2475,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Secom/PR,Integração da Serra,Jornal/revista que há quinze anos reporta experiências. ,Media/News Company,NA,NA,7570,https://www.facebook.com/IntegracaoDaSerra/,Bento Gonçalves,RS,Brazil,-29.16006,-51.52599,264,IntegracaoDaSerra,www.integracaodaserra.com.br,,
TAPERA,INTEGRAÇÃO DAS CIDADES,id5339,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Secretaria de Estado das Cidades e Integração Municipal,NA,Management Service,NA,NA,2,https://www.facebook.com/pages/Secretaria-de-Estado-das-Cidades-e-Integra%C3%A7%C3%A3o-Municipal/248680635477349,Aracaju,SE,Brazil,-10.916883,-37.050369,0,NA,NA,,
RESTINGA SECA,INTEGRAÇÃO REGIONAL,id5292,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Copa Regional Integração,COPA DE FUTEBOL DA REGIÃO METROPOLITANA DE CAMPINAS,Sports League,NA,NA,83,https://www.facebook.com/coparegionalintegracao/,NA,NA,NA,NA,NA,0,coparegionalintegracao,NA,,
RIBEIRÃO DAS NEVES,INTEGRAÇAO VENDA NOVA,id1084,Jornal,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,Secom/PR,Jornal  JRN/Integração Venda Nova,NA,Company,NA,NA,4,https://www.facebook.com/Jornal-JRNIntegração-Venda-Nova-597492570385806/,NA,NA,NA,NA,NA,0,NA,NA,,
ARAXÁ,INTERAÇAO,id825,Jornal,n/d,MG,Minas Gerais,SE,Brasil,Secom/PR,Interação Sistema de Ensino,Escola de Cursos em Paranaguá,Specialty School,Escola de Cursos Profissionalizantes em Paranaguá,NA,7306,https://www.facebook.com/cursosinteracao/,Paranaguá,PR,Brazil,-25.51634063,-48.50474596,385,cursosinteracao,http://www.cursosinteracao.com,,
CABECEIRAS,INTERATIVA FM,id511,Online,RIDE DF,GO,Goiás,CO,Brasil,Secom/PR,Interativa FM,"Portal de notícias de Cabeceiras (GO): www.interativa87.net

Twitter: @interativa87
WhatsApp: 61 99999 8879
",Arts & Entertainment,"Rádio Interativa FM. Noticias, Prêmios e Interatividade.
Siga a Interativa no Twitter: @interativa87",NA,4556,https://www.facebook.com/Interativa87/,Cabeceiras,GO,Brazil,-15.80445,-46.92393,190,Interativa87,http://www.interativa87.net,,
NOVA IGUAÇU,INTERCULTURAL NEWS,id4968,Online,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,Atlas da NotÃ­cia,Intercultural News,"Intercultural News é um jornal online feito por alunos da primeira escola pública bilíngue do Brasil, com a missão de promover o conhecimento para encorajar outros estudantes a ter acesso à educação e usá-la como uma ferramenta para mudar vidas.",School,"A nossa trajetória começou no ano de 2014, ano em que o Colégio Ensino Médio Intercultural Brasil Estados Unidos foi inaugurado. Como parte de um projeto de alunos, professores e direção, o Intercultural News se tornou a página oficial do colégio, que fica localizado no município de Nova Iguaçu na Baixada Fluminense, se tornando assim a primeira central de notícias e entretenimento produzida por alunos e professores da Rede Pública Estadual de Ensino do estado do Rio de Janeiro e também o primeiro clube a ser reconhecido oficialmente pela escola. 
Com a tentativa de tornar o conhecimento mais acessível e transmitir as notícias com uma visão diferente, o Intercultural trouxe a proposta de relatar as notícias do Brasil e do Mundo pela própria visão do aluno. Em 2014, a primeira versão do site obteve bons resultados. Hoje temos milhares de visualizações dentro e fora do país. 
Com propostas mais diversificadas e adeptas aos mais variados assuntos, dando a oportunidade de diversos interesses serem debatidos e relatados, nossa equipe vem crescendo cada vez mais de ano em ano. 
O Intercultural News é o lugar onde os jovens estudantes do Intercultural Brasil - Estados Unidos poderão encontrar um ambiente que motiva, incentiva e mostra a eles a capacidade que possuem como pessoa. Aqui é o lugar onde o conhecimento não possui limites.",NA,2148,https://www.facebook.com/jornalintercultural/,Nova Iguaçu,RJ,Brazil,-22.7385813,-43.4844341,21,jornalintercultural,http://www.interculturalnews.com.br/,,
SÃO CAETANO DO SUL,INTERNATIONAL FOREIGN TRADE,id3366,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,International cycle  foreign trade,"We are a company importing the finest bikes of all kinds (Bicycle Race, Family Bicycles, Bicycle kids)
  Trust in us is the most important thing.",Company,NA,NA,673,https://www.facebook.com/italianobike/,NA,NA,NA,NA,NA,5,italianobike,NA,,
RIO DE JANEIRO,INVESTARTE,id1901,Online,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,InvestArte,INVESTARTE Um show de imagens e obras de grandes artistas !,Arts & Humanities Website,"A InvestArte exibe um painel diário das artes pelo mundo (pintura, escultura, fotografia, gravura, xilogravura, litografia, aquarela, ilustração, quadrinhos, desenho, arte digital, grafite, arte de rua, performances e tudo o mais que simbolizar a expressão da criatividade.
Artistas conhecidos e desconhecidos (principalmente) são apresentados em álbuns exclusivos. 
Um show de imagens!  
Informações do Mercado de Arte no Brasil e no Mundo.

==============================================

InvestArte displays a daily panel of teh world of arts (painting, sculpture, photography, printmaking, woodcut, lithography, watercolor, illustration, comics, design, digital art, graffiti, street art, performances and everything else that symbolize the expression of creativity.
Known and unknown artists (mostly) are presented in unique albums.
A show of pictures!
Art Market Information in Brazil and worldwide.

==============================================

InvestArte muestra un panel diario de arte de todo el mundo (pintura, escultura, fotografía, grabado, xilografía, litografía, acuarela, ilustración, cómic, diseño, arte digital, grafiti, arte de la calle, presentaciones y todo lo que simboliza la expresión de la creatividad.
Artistas conocidos y desconocidos (en su mayoría) se presentan en álbumes únicos.
Un show de fotos!
Información sobre el Mercado de Arte en Brasil y en todo el mundo.",NA,7289,https://www.facebook.com/InvestArte/,Rio de Janeiro,RJ,Brazil,NA,NA,35,InvestArte,http://www.investarte.com.br,,
FORTALEZA,INVESTNE,id183,Online,RM Fortaleza,CE,Ceará,NE,Brasil,Secom/PR,InvestNep,NA,Community,NA,NA,0,https://www.facebook.com/pages/InvestNep/1502708073111192,NA,NA,NA,NA,NA,0,InvestNep,NA,,
SÃO PAULO,IPIRANGA NEWS,id4611,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Ipiranga News,Jornal semanal com espaço para todos os segmentos sociais da região e tiragem de 55 mil exemplares.,Media/News Company,NA,NA,7384,https://www.facebook.com/ipiranganews/,São Paulo,SP,Brazil,-23.5918199,-46.60431,690,ipiranganews,http://www.ipiranganews.inf.br/,,
JUIZ DE FORA,ISAUDE.NET,id783,Online,n/d,MG,Minas Gerais,SE,Brasil,Secom/PR,Isaúde.Net,http://www.isaude.net em Parceria com o Portal R7 ,Media/News Company,"Portal de notícias para quem vive saúde.
http://www.isaude.net",NA,7735,https://www.facebook.com/isaudenet/,NA,NA,NA,NA,NA,6,isaudenet,http://www.isaude.net,,
CUIABÁ,ISSO É NOTÍCIA,id1286,Online,n/d,MT,Mato Grosso,CO,Brasil,Secom/PR,Isso É Notícia,"Página do blog ""Isso É Notícia"", de Cuiabá-MT",Newspaper,"                         O site “Isso É Notícia” é um portal de notícias regionais com informações sobre política, economia, cotidiano e assuntos jurídicos de Mato Grosso. Com uma linguagem descolada e focado na informação objetiva, o “Isso É Notícia” também, entretanto, faz análises de fatos e abre espaço para os debates opinativos.
Como um veículo de comunicação moderno, o portal estará sempre atento às novas tecnologias sem deixar de lado antigas técnicas e preceitos jornalísticos essenciais para garantir um produto final sofisticado e crítico.
",NA,23580,https://www.facebook.com/issoenoticiamt/,Cuiabá,MT,Brazil,-15.58331636,-56.07801725,161,issoenoticiamt,http://www.issoenoticia.com.br,,
SÃO PAULO,ISTO E,id3917,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,Isto é Super Interessante,"Fique por dentro dos fatos mais curiosos! 

Instagram: @istoesuperinteressante 
Nosso site: istoesuperinteressante.com 

",News & Media Website,O Isto é Super Interessante é um site de curiosidades e notícias. Fundado em 2015. ,NA,2394897,https://www.facebook.com/IstoEsuperInteressante/,NA,NA,NA,NA,NA,120095,IstoEsuperInteressante,http://istoesuperinteressante.com,,
SÃO PAULO,ISTOE 2016,id3912,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,ISTOÉ 2016,Traga um pouco do seu Brasil de 2016 para nós!,Magazine,NA,NA,3993,https://www.facebook.com/ISTOE2016/,NA,NA,NA,NA,NA,5,ISTOE2016,http://www.istoe2016.com.br,,
