SIGLA,NOME CURTO,NOME LONGO,DEFINIÇÃO
PESO15,População de 15 anos ou mais,População de 15 anos ou mais de idade,População residente nessa faixa etária
PESO1517,População de 15 a 17 anos,População de 15 a 17 anos de idade,População residente nessa faixa etária
PESO1524,População de 15 a 24 anos,População de 15 a 24 anos de idade,População residente nessa faixa etária
PESO1618,População de 16 a 18 anos,População de 16 a 18 anos de idade,População residente nessa faixa etária
PESO18,População de 18 anos ou mais,População de 18 anos ou mais de idade,População residente nessa faixa etária
Peso1820,População de 18 a 20 anos,População de 18 a 20 anos de idade,População residente nessa faixa etária
Peso1824,População de 18 a 24 anos,População de 18 a 24 anos de idade,População residente nessa faixa etária
Peso1921,População de 19 a 21 anos,População de 19 a 21 anos de idade,População residente nessa faixa etária
PESO25,População de 25 anos ou mais,População de 25 anos ou mais de idade,População residente nessa faixa etária
PESO4,População de 4 anos,População de 4 anos de idade,População residente nessa faixa etária
PESO5,População de 5 anos,População de 5 anos de idade,População residente nessa faixa etária
PESO6,População de 6 anos,População de 6 anos de idade,População residente nessa faixa etária
PESO610,População de 6 a 10 anos,População de 6 a 10 anos de idade,População residente nessa faixa etária
Peso617,População de 6 a 17 anos,População de 6 a 17 anos de idade,População residente nessa faixa etária
PESO65,População de 65 anos ou mais,População de 65 anos ou mais de idade,População residente nessa faixa etária
PESOM1014,Mulheres de 10 a 14 anos,Mulheres de 12 a 14 anos de idade,População residente nessa faixa etária e do sexo feminino
PESOM1517,Mulheres de 15 a 17 anos,Mulheres de 15 a 17 anos de idade,População residente nessa faixa etária e do sexo feminino
PESOM15M,Mulheres de 15 anos ou mais,Mulheres de 15 anos ou mais de idade,População residente nessa faixa etária e do sexo feminino
PESOM25M,Mulheres de 25 anos ou mais,Mulheres de 25 anos ou mais de idade,População residente nessa faixa etária e do sexo feminino
PESORUR,População rural,População rural,População residente na área rural
PESOTOT,População total,População total,População residente total
PESOURB,População urbana,População urbana,População residente na área urbana
PIA,População de 10 anos ou mais,População de 10 anos ou mais de idade,População residente nessa faixa etária
PIA1014,População de 10 a 14 anos,População de 10  a 14 anos de idade,População residente nessa faixa etária
PIA1517,População de 15 a 17 anos,População em idade ativa 15 a 17 anos,População residente nessa faixa etária
PIA18M,População de 18 anos ou mais,População de 18 anos ou mais em idade ativa,População residente nessa faixa etária
POP,População total em domicílios particulares permanentes,População total que reside em domicílios particulares permanentes,"População residente em domicílios particulares permanentes. Exclui os residentes em domicílios coletivos, como pensões, hotéis, prisões, quartéis, hospitais. "
POPT,"População total em domicílios particulares permanentes, exceto com renda nula","População total que reside em domicílios particulares permanentes, exceto os com renda nula","Refere-se à população residente em domicílios particulares permanentes, excetuando-se aqueles com renda nula. População de referência do Índice de Theil-L."
I_ESCOLARIDADE,Subíndice de escolaridade - IDHM Educação,Subíndice de escolaridade fundamental da população adulta - IDHM Educação,"Subíndice selecionado para compor o IDHMEducação, representando o nível de escolaridade da população adulta. É obtido pelo indicador % de jovens e adultos com 18 anos ou mais com o fundamental completo."
I_FREQ_PROP,Subíndice de frequência escolar - IDHM Educação,Subíndice de frequência escolar da população jovem - IDHM Educação,"Subíndice selecionado para compor o IDHMEducação, representando a frequência de crianças e jovens à escola em  séries adequadas à sua idade.  É obtido através da média aritmética simples de 4  indicadores:  % de crianças de 5 a 6 anos na escola, % de  crianças de 11 a 13 anos no 2º ciclo do fundamental, % de jovens de 15 a 17 anos com o fundamental completo e % de jovens de 18 a 20 anos com o médio completo. "
IDHM,IDHM,Índice de Desenvolvimento Humano Municipal,"Índice de Desenvolvimento Humano Municipal. Média geométrica dos índices das dimensões Renda, Educação e Longevidade, com pesos iguais."
IDHM_ E,IDHM Educação,Índice de Desenvolvimento Humano Municipal - Dimensão Educação,"Índice sintético da dimensão Educação que é um dos 3 componentes do IDHM. É obtido através da média geométrica do subíndice de frequência de crianças e jovens à escola, com peso de 2/3, e do subíndice de escolaridade da população adulta, com peso de 1/3."
IDHM_L,IDHM Longevidade,Índice de Desenvolvimento Humano Municipal  - Dimensão Longevidade,"Índice da dimensão Longevidade que é um dos 3 componentes do IDHM. É obtido a partir do indicador Esperança de vida ao nascer, através da fórmula: [(valor observado do indicador) - (valor mínimo)] / [(valor máximo) - (valor mínimo)], onde os valores mínimo e máximo são 25 e 85 anos, respectivamente. "
IDHM_R,IDHM Renda,Índice de Desenvolvimento Humano Municipal - Dimensão Renda,"Índice da dimensão Renda que é um dos 3 componentes do IDHM. É obtido a partir do indicador Renda per capita, através da fórmula: [ln (valor observado do indicador) - ln (valor mínimo)] / [ln (valor máximo) - ln (valor mínimo)], onde os valores mínimo e máximo são R$ 8,00 e R$ 4.033,00 (a preços de agosto de 2010). "
